modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,rand_gmm_20,kond,11.0,0.10232914779607455,0.053616855293512344,9.595322608947754,2.7330684661865234,0.06095433235168457,-0.12769794464111328,0.12769794464111328,0.08066461494505633
laenge,rand_gmm_20,kraft,11.0,0.10397634806125004,0.055778179317712784,10.588665962219238,2.6083004474639893,0.06321532279253006,-0.03739400343461474,0.03739400343461474,0.0008690148449548472
laenge,rand_gmm_20,kond+kraft,11.0,0.10008093210849989,0.05451571196317673,10.608363151550293,2.5578408241271973,0.06191043555736542,-0.035603349859064326,0.035603349859064326,0.004582077514804305
laenge,rand_gmm_20,kond,14.0,0.10178895922264995,0.05339832976460457,9.605106353759766,2.712998151779175,0.06073220074176788,-0.3139209747314453,0.3139209747314453,0.07462712162388395
laenge,rand_gmm_20,kraft,14.0,0.09224468453212585,0.05153026804327965,12.188963890075684,2.518493890762329,0.05982118472456932,-0.12935972213745117,0.12935972213745117,0.004808282996622756
laenge,rand_gmm_20,kond+kraft,14.0,0.08716789807987493,0.05014294385910034,12.218944549560547,2.4614782333374023,0.05863072723150253,-0.12721824645996094,0.12721824645996094,0.006666089893607094
laenge,rand_gmm_20,kond,18.0,0.10075810163548729,0.05302416905760765,9.626790046691895,2.6743741035461426,0.06040403991937637,-0.46517833073933923,0.46517833073933923,0.06529372253249084
laenge,rand_gmm_20,kraft,18.0,0.08458376656072858,0.04851339012384415,13.218212127685547,2.578462839126587,0.057772595435380936,-0.26565488179524743,0.26565488179524743,0.005550412503329084
laenge,rand_gmm_20,kond+kraft,18.0,0.08048183317908209,0.047331973910331726,13.262795448303223,2.52618145942688,0.05697259679436684,-0.2631780306498209,0.2631780306498209,0.006592463531228806
laenge,rand_ana_poly_10,frei,nan,0.25052181547330976,0.0377279557287693,4.603455066680908,4.718682289123535,0.0412074476480484,nan,nan,nan
laenge,rand_ana_poly_10,kond,4.0,0.24905964776900957,0.03738821670413017,4.602249622344971,4.627597808837891,0.040885645896196365,0.15056240558624268,0.15056240558624268,-1.2129699072027482
laenge,rand_ana_poly_10,kraft,4.0,0.2552642399065595,0.03851580247282982,4.000019550323486,5.067008018493652,0.04175722971558571,4.887580871582031e-06,4.887580871582031e-06,0.0078590409491919
laenge,rand_ana_poly_10,kond+kraft,4.0,0.25330243622608556,0.03741642087697983,3.9999687671661377,5.000202655792236,0.04075981304049492,-7.808208465576172e-06,7.808208465576172e-06,0.004607595491416356
laenge,rand_ana_poly_10,kond,6.0,0.24911416917590318,0.0373573936522007,4.604742527008057,4.619763374328613,0.04084721952676773,-0.23254291216532386,0.23254291216532386,1.0933512029254862
laenge,rand_ana_poly_10,kraft,6.0,0.2764784286890867,0.0328655019402504,5.974863052368164,5.447429180145264,0.03846605867147446,-0.004189491271972656,0.004189491271972656,-0.018926981238751674
laenge,rand_ana_poly_10,kond+kraft,6.0,0.27591037373513755,0.032310087233781815,5.973806381225586,5.37722110748291,0.03832898288965225,-0.004365603129068973,0.004365603129068973,-0.018527043388332547
laenge,rand_ana_poly_10,kond,8.0,0.24932840600453723,0.037436820566654205,4.5975141525268555,4.636717796325684,0.04087555408477783,-0.42531073093414307,0.42531073093414307,-0.20087976998597343
laenge,rand_ana_poly_10,kraft,8.0,0.28666393642352866,0.029250366613268852,7.728888988494873,5.2604241371154785,0.03483935818076134,-0.03388887643814087,0.03388887643814087,-0.011563873002710114
laenge,rand_ana_poly_10,kond+kraft,8.0,0.28630679678144727,0.029308872297406197,7.728612899780273,5.2033915519714355,0.03491310030221939,-0.03392338752746582,0.03392338752746582,-0.011450615687031675
laenge,rand_ana_poly_10,kond,11.0,0.24948909914714085,0.03750917315483093,4.586704730987549,4.658946514129639,0.04093635827302933,-0.5830268426374956,0.5830268426374956,-0.061653470418406714
laenge,rand_ana_poly_10,kraft,11.0,0.2935966717203753,0.02840081974864006,9.447807312011719,5.438782691955566,0.034959301352500916,-0.1411084261807528,0.1411084261807528,-0.008891767994076583
laenge,rand_ana_poly_10,kond+kraft,11.0,0.29344217701565367,0.028486285358667374,9.443218231201172,5.389482021331787,0.03513490781188011,-0.14152561534534802,0.14152561534534802,-0.008868277244842898
laenge,rand_ana_poly_10,kond,14.0,0.2494151065136604,0.03750839829444885,4.582863807678223,4.662486553192139,0.040939800441265106,-0.6726525851658413,0.6726525851658413,-0.05374654165172867
laenge,rand_ana_poly_10,kraft,14.0,0.29489923425621967,0.02689244970679283,10.15829086303711,5.527287483215332,0.03421102464199066,-0.2744077954973493,0.2744077954973493,-0.007988970405213437
laenge,rand_ana_poly_10,kond+kraft,14.0,0.29465516123563484,0.027024246752262115,10.1471586227417,5.474524021148682,0.03429258242249489,-0.2752029555184501,0.2752029555184501,-0.00796098588534288
laenge,rand_ana_poly_10,kond,18.0,0.2492273260090935,0.037469394505023956,4.588765621185303,4.648538112640381,0.040889084339141846,-0.7450685766008165,0.7450685766008165,-0.08812378007076722
